id,title,category,createtime,completetime,complete,user_id
138,eat,art,2022-08-05 08:21:48.710226,2022-08-06 00:18:38.249032,True,4
139,get dressed,programming,2022-08-05 13:09:48.710226,2022-08-06 19:51:42.797525,True,4
140,drink coffee,sport,2022-08-05 17:57:48.710226,2022-08-06 09:34:04.428416,True,5
141,go for a walk,sport,2022-08-05 22:45:48.710226,2022-08-07 08:06:03.259198,True,4
142,buy pants,art,2022-08-06 03:33:48.710226,2022-08-07 12:45:14.163160,True,1
143,nap,programming,2022-08-06 08:21:48.710226,2022-08-07 05:30:46.390266,True,5
144,sleep,sport,2022-08-06 13:09:48.710226,2022-08-07 02:12:56.623139,True,2
145,lay in bed,programming,2022-08-06 17:57:48.710226,2022-08-07 08:13:56.328377,True,4
146,sleep,sport,2022-08-06 22:45:48.710226,2022-08-08 04:35:52.326089,True,4
147,get dressed,programming,2022-08-07 03:33:48.710226,2022-08-08 08:35:52.825420,True,4
148,sleep,sport,2022-08-07 08:21:48.710226,2022-08-08 14:03:39.484399,True,1
149,sleep,art,2022-08-07 13:09:48.710226,2022-08-08 16:29:06.416714,True,4
150,count leaves of trees,art,2022-08-07 17:57:48.710226,2022-08-08 09:53:27.869539,True,2
151,count sand on the beach,art,2022-08-07 22:45:48.710226,2022-08-08 16:56:39.939890,True,1
152,count leaves of trees,art,2022-08-08 03:33:48.710226,2022-08-08 19:35:11.612942,True,3
153,go for a walk,programming,2022-08-08 08:21:48.710226,2022-08-09 14:37:34.154155,True,2
154,count sand on the beach,sport,2022-08-08 13:09:48.710226,2022-08-09 21:11:53.127931,True,3
155,produce shitty code,programming,2022-08-08 17:57:48.710226,2022-08-09 17:41:46.918103,True,2
156,lay in bed,sport,2022-08-08 22:45:48.710226,2022-08-10 06:14:05.154715,True,5
157,count leaves of trees,programming,2022-08-09 03:33:48.710226,2022-08-09 21:30:36.938236,True,3
158,drink coffee,art,2022-08-09 08:21:48.710226,2022-08-10 07:09:35.151990,True,1
159,lay in bed,art,2022-08-09 13:09:48.710226,2022-08-11 00:44:30.442255,True,1
160,brush your teeth,art,2022-08-09 17:57:48.710226,2022-08-10 20:42:58.502945,True,5
161,brush your teeth,programming,2022-08-09 22:45:48.710226,2022-08-10 14:14:51.928873,True,2
162,nap,programming,2022-08-10 03:33:48.710226,2022-08-11 09:17:00.751712,True,5
163,produce shitty code,programming,2022-08-10 08:21:48.710226,2022-08-10 21:32:02.863441,True,2
164,count sand on the beach,sport,2022-08-10 13:09:48.710226,2022-08-11 18:35:02.902369,True,3
165,count sand on the beach,art,2022-08-10 17:57:48.710226,2022-08-12 02:34:36.747385,True,3
166,produce shitty code,programming,2022-08-10 22:45:48.710226,2022-08-12 10:42:06.449625,True,5
167,sleep,art,2022-08-11 03:33:48.710226,2022-08-11 20:48:47.669180,True,3
168,nap,sport,2022-08-11 08:21:48.710226,2022-08-12 14:48:46.181156,True,3
169,brush your teeth,art,2022-08-11 13:09:48.710226,2022-08-12 05:11:26.900990,True,1
170,produce shitty code,art,2022-08-11 17:57:48.710226,2022-08-12 11:50:35.330353,True,5
171,sleep,sport,2022-08-11 22:45:48.710226,2022-08-13 05:03:30.134667,True,5
172,drink coffee,programming,2022-08-12 03:33:48.710226,2022-08-13 03:10:40.019552,True,3
173,brush your teeth,sport,2022-08-12 08:21:48.710226,2022-08-13 17:41:45.952730,True,5
174,nap,art,2022-08-12 13:09:48.710226,2022-08-13 09:43:09.734024,True,1
175,count leaves of trees,art,2022-08-12 17:57:48.710226,2022-08-14 02:25:38.930167,True,5
176,drink coffee,programming,2022-08-12 22:45:48.710226,2022-08-13 18:12:13.193578,True,5
177,get dressed,art,2022-08-13 03:33:48.710226,2022-08-14 12:34:00.456125,True,1
178,count leaves of trees,art,2022-08-13 08:21:48.710226,2022-08-14 15:12:35.748827,True,2
179,brush your teeth,programming,2022-08-13 13:09:48.710226,2022-08-14 19:17:17.358233,True,4
180,sleep,sport,2022-08-13 17:57:48.710226,2022-08-14 19:54:31.369283,True,1
181,produce shitty code,art,2022-08-13 22:45:48.710226,2022-08-14 18:48:26.545863,True,1
182,buy socks,sport,2022-08-14 03:33:48.710226,2022-08-15 11:00:32.314188,True,2
183,buy socks,sport,2022-08-14 08:21:48.710226,2022-08-15 03:39:01.971376,True,5
184,count sand on the beach,programming,2022-08-14 13:09:48.710226,2022-08-15 06:07:18.933183,True,3
185,drink coffee,sport,2022-08-14 17:57:48.710226,2022-08-15 16:25:13.487392,True,2
186,count sand on the beach,sport,2022-08-14 22:45:48.710226,2022-08-15 15:31:27.397186,True,3
187,count sand on the beach,sport,2022-08-15 03:33:48.710226,2022-08-16 07:29:06.638370,True,2
